tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,label,prob_planet,rank
269701147,1339.01,CP,2460651.26694,8.8803281,2.71,1238.0,3.20594,0.92,5555.7,4.49,8.2929,1,0.9341280047566594,85
243185500,1468.02,CP,2459448.308156,1.880531,1.1911684,1214.0066593,1.4548629,0.369306,3382.0,4.85532,10.8858,1,0.9340134250927166,86
261136679,144.01,CP,2460011.550653,6.267832,2.789,321.0,1.99779,1.15,5950.0,4.438,5.1054,1,0.9336709776107327,87
88992642,2145.01,CP,2460470.361827,10.2611329,7.369,1900.0,12.2521,2.78,6202.0,3.63,8.55942,1,0.9336090529150644,88
201186294,1634.01,CP,2458791.515001,0.98933,1.0357615,1519.669587,1.8303854,0.465258,3455.0,4.76798,11.0136,1,0.9327822388152869,89
243641947,3235.01,CP,2459355.554021,2.5926199,1.269,78210.0,11.0137,0.37,3375.0,4.85,13.2486,1,0.9326828601473273,90
27649847,521.01,CP,2458492.716411,1.5428486,1.1958898,2154.4855781,1.9653032,0.420028,3439.0,4.97486,12.4029,1,0.9325420830205281,91
20182780,3984.01,CP,2459715.022491,4.3533211,1.894,21740.0,7.17236,0.46,3422.0,4.77,13.4609,1,0.9317432846213444,92
232608943,4600.01,CP,2459419.383357,82.6901439,7.5240298,6529.5765126,6.8236925,0.831915,5073.0,4.53,11.8787,1,0.9313356560870562,93
8348911,2266.01,CP,2458957.9252,2.326343,1.2195051,4153.6144436,1.9763187,0.261162,3244.0,4.97167,13.5042,1,0.9301827575854706,94
130181866,1726.01,CP,2458845.373051,7.107934,3.440833,501.6058242,2.2881711,0.902932,5694.11,4.53108,6.2683,1,0.9301532872595442,95
178709444,762.01,CP,2459329.505631,3.4716808,1.3816978,30624.6434599,8.027234,0.426785,3399.0,4.91468,13.6615,1,0.929369820588854,96
232540264,1247.01,CP,2460311.844914,15.9234883,4.021,493.0,2.18203,1.08,5711.85,4.38315,8.4724,1,0.9289607129605021,97
417931607,1451.01,CP,2460348.107581,16.5379864,2.796,608.0,2.51948,1.03,5781.0,4.43068,8.9989,1,0.9281573564474084,98
199444169,1410.01,CP,2459850.737058,1.2168732,0.86,1240.0,3.43106,0.78,4634.6,4.51,10.1917,1,0.927998366707651,99
54962195,663.01,CP,2458544.387711,2.5989031,1.6635706,1953.2615465,2.4312854,0.512361,3719.0,4.76941,11.7602,1,0.9274998366223244,100
153065527,406.02,CP,2458385.38837,6.614911,0.9654605,1060.5715819,1.2731554,0.388609,3349.0,4.94138,11.2828,1,0.9272000568606322,101
229650439,1438.02,CP,2460632.101735,9.4280902,1.377,799.0,2.49195,0.82,5374.0,5.96065,10.3237,1,0.9268873018481917,102
219854185,1296.01,CP,2459766.962599,3.9443668,4.8652146,6732.488454,14.5727196,1.75475,5494.0,3.93,10.8041,1,0.9264428611950049,103
269701147,1339.03,CP,2460661.127783,38.3511223,5.9120193,1029.0917261,3.2843583,0.920435,5555.7,4.49,8.2929,1,0.9263359527797316,104
235678745,2095.02,CP,2458704.29023,28.1722501,3.3983448,950.5653623,1.4475246,0.463205,3746.0,4.76979,11.0788,1,0.9259568270881198,105
142276270,1136.03,CP,2459594.183463,26.3208756,4.414,800.0,2.71349,0.98,5729.0,4.47,8.9361,1,0.9251628054376271,106
467179528,1266.02,CP,2459630.046434,18.8016111,1.9093524,1686.7881033,1.9112282,0.435666,3618.0,4.79432,11.0402,1,0.9251287946826258,107
231702397,122.01,CP,2458329.118988,5.0780325,1.2100353,5923.1283069,2.6347763,0.334125,3318.0,4.9581,13.084,1,0.9249122395285259,108
352413427,1473.01,CP,2460608.852345,5.2544884,2.898,567.0,2.1916,0.99,5958.0,4.48217,8.297,1,0.9246720145413677,109
130181866,1726.02,CP,2459583.637103,20.5438153,4.0537919,799.3817133,2.5734283,0.902932,5694.11,4.53108,6.2683,1,0.9244339558714603,110
178819686,763.02,CP,2460046.212045,12.2772444,3.8398889,869.4629182,2.8635085,0.906761,5767.0,4.34736,9.5275,1,0.9240534548317557,111
